ticker,company,industry,country,exchange,pe_ratio_5,pe_ratio_4,pe_ratio_3,pe_ratio_2,pe_ratio_1,roic_5,roic_4,roic_3,roic_2,roic_1,fcf_share_5,fcf_share_4,fcf_share_3,fcf_share_2,fcf_share_1,operating_margin_5,operating_margin_4,operating_margin_3,operating_margin_2,operating_margin_1,de_ratio_5,de_ratio_4,de_ratio_3,de_ratio_2,de_ratio_1,shares_outstanding_5,shares_outstanding_4,shares_outstanding_3,shares_outstanding_2,shares_outstanding_1,total_revenue_5,total_revenue_4,total_revenue_3,total_revenue_2,total_revenue_1,eps_5,eps_4,eps_3,eps_2,eps_1,pe_ratio_score,fcf_share_cagr,eps_cagr,fcf_share_rgw,fcf_share_trend,fcf_yield,fcf_share_score,total_revenue_cagr,total_revenue_trend,total_revenue_score,operating_margin_strength,operating_margin_trend,operating_margin_score,roic_strength,roic_trend,roic_score,de_ratio_score,buyback_yield,buyback_trend,buyback_score,ranking_score,has_incomplete_data
TXN,Texas Instruments Inc,Semiconductors,USA,NASDAQ,22.8,17.57,24.11,36.09,31.85,0.4223,0.3948,0.2532,0.1635,0.1635,6.72,6.4,1.47,1.63,2.85,0.4914,0.5191,0.4185,0.3415,0.3472,0.62,0.63,0.7,0.85,0.91,924.0,906.0,909.0,911.0,907.0,18.34,20.03,17.52,15.64,17.68,8.26,9.41,7.07,5.2,5.45,-0.321,-0.193,-0.0987,0.0,0.25,0.1642,0.0,-0.0091,0.25,0.0134,1.0,0.25,0.25,0.654,0.25,0.1635,0.5236,0.2195,0.25,0.0549,0.1061,False
WMT,Walmart Inc,Discount Stores,USA,NASDAQ,28.68,33.68,28.79,40.81,43.66,0.0997,0.0884,0.1159,0.1379,0.1473,1.32,1.46,1.86,1.57,1.86,0.0497,0.0401,0.0417,0.0431,0.0418,0.69,0.77,0.73,0.66,0.67,8.28,8.08,8.05,8.02,7.97,572.75,611.29,648.13,680.99,713.16,2.15,2.1,2.22,2.51,2.64,-0.2963,0.0895,0.0527,1.2,0.25,0.1614,0.0484,0.0563,0.25,0.0804,0.1672,0.25,0.0418,0.5892,0.25,0.1473,0.5988,0.3117,0.25,0.0779,0.1005,False
XOM,Exxon Mobil Corp,Oil & Gas Integrated,USA,NYSE,11.35,8.32,11.25,13.73,17.96,0.1086,0.2446,0.148,0.122,0.0955,8.43,13.89,8.26,7.15,5.48,0.0991,0.1635,0.13,0.1186,0.1048,0.31,0.24,0.23,0.18,0.19,4.24,4.08,3.97,4.35,4.18,280.51,400.44,333.71,339.91,323.9,5.38,14.06,9.52,7.79,6.99,-0.5824,-0.1021,0.0676,0.0,0.25,0.4365,0.0,0.0366,0.25,0.0536,0.4192,0.25,0.1048,0.382,0.25,0.0955,0.8403,1.0,0.25,0.25,0.0984,False
QCOM,Qualcomm Inc,Semiconductors,USA,NASDAQ,17.01,10.65,16.77,18.96,33.74,0.3943,0.4621,0.2135,0.263,0.1439,7.53,6.01,8.75,9.88,11.6,0.2916,0.3349,0.2415,0.2631,0.2799,1.64,0.9,0.74,0.59,0.74,1.13,1.12,1.11,1.11,1.07,33.57,44.2,35.82,38.96,44.28,8.54,12.53,8.43,10.22,12.03,-0.9835,0.1141,0.0894,1.2,0.25,0.2858,0.0857,0.0717,0.25,0.0982,1.0,0.25,0.25,0.5756,0.25,0.1439,0.5747,1.0,0.25,0.25,0.0852,False
ORCL,Oracle Corp,Software - Infrastructure,USA,NYSE,17.31,29.83,34.46,31.61,38.13,0.1655,0.0883,0.1061,0.1145,0.1178,4.55,1.8,3.06,4.18,0.14,0.3899,0.3738,0.2758,0.3034,0.3145,,16.61,88.86,10.85,5.33,2.81,2.67,2.71,2.75,2.81,40.48,42.44,49.95,52.96,57.4,4.67,4.9,5.12,5.56,6.03,-0.2063,-0.5812,0.066,0.0,0.25,0.0061,0.0,0.0912,0.25,0.1295,1.0,0.25,0.25,0.4712,0.25,0.1178,0.158,0.0,0.25,0.0,0.0815,True
CAT,Caterpillar Inc,Farm & Heavy Construction Machinery,USA,NYSE,17.48,18.95,14.69,16.45,30.46,0.1531,0.1577,0.2392,0.2354,0.1779,8.62,9.74,19.07,18.02,15.78,0.1367,0.1535,0.2062,0.2088,0.1716,2.33,2.37,1.97,2.0,2.07,535.89,516.35,499.38,477.93,465.29,50.98,59.43,67.06,64.81,67.59,10.81,13.84,21.21,21.9,19.06,-0.7426,0.1632,0.1523,1.0713,0.25,0.2718,0.0728,0.0731,0.25,0.1027,0.6864,0.25,0.1716,0.7116,0.25,0.1779,0.3257,1.0,0.25,0.25,0.0799,False
BRK.B,Berkshire Hathaway Inc,Insurance - Diversified,USA,NYSE,,7.54,8.06,10.98,16.19,0.1531,0.0378,0.1521,0.1229,0.0833,11.54,9.93,13.71,5.39,11.61,0.1268,0.1377,0.132,0.16,0.1585,0.24,0.27,0.24,0.22,0.19,1.29,1.3,1.31,1.34,1.38,276.09,302.02,364.48,371.43,371.44,12.12,13.97,17.18,22.0,20.62,-0.7006,0.0015,0.1421,0.0106,0.25,0.3478,0.0009,0.077,0.25,0.1116,0.634,0.25,0.1585,0.3332,0.25,0.0833,0.8403,0.0,0.0,0.0,0.0755,True
INTC,Intel Corp,Semiconductors,USA,NASDAQ,,,,10.56,13.59,0.1625,0.0597,0.0116,0.1256,0.0018,2.36,2.33,3.39,3.66,1.09,0.2768,0.037,0.0006,0.0887,0.0271,0.4,0.42,0.47,0.51,0.41,4.07,4.14,4.23,4.33,4.99,79.02,63.05,54.23,53.1,52.85,5.47,1.84,1.05,0.13,0.42,-0.1255,-0.1756,-0.4736,0.0,0.25,1.5,0.0,-0.0957,0.0,0.0,0.1084,0.25,0.0271,0.0072,0.25,0.0018,0.7092,0.0,0.0,0.0,0.0629,True
CVX,Chevron Corp,Oil & Gas Integrated,USA,NYSE,14.42,9.82,13.12,14.9,23.0,0.0893,0.1991,0.116,0.0979,0.0605,11.24,20.07,10.9,8.59,9.06,0.1066,0.1755,0.1453,0.0995,0.089,0.25,0.17,0.16,0.19,0.25,1.93,1.92,1.87,1.77,1.99,156.29,236.37,197.22,193.47,184.53,8.13,18.83,13.13,10.05,7.29,-0.595,-0.0525,-0.0269,0.0,0.25,0.5403,0.0,0.0424,0.25,0.067,0.356,0.25,0.089,0.242,0.25,0.0605,0.8,0.0,0.25,0.0,0.059,False
AVGO,Broadcom Inc,Semiconductors,USA,NASDAQ,35.43,17.82,25.42,136.91,77.57,0.104,0.1809,0.2269,0.0626,0.1654,3.11,3.86,4.13,4.06,5.55,0.3164,0.4303,0.4594,0.2957,0.4093,1.61,1.76,1.65,1.02,0.82,4.13,4.18,4.14,4.69,4.74,27.45,33.2,35.82,51.57,63.89,2.8,3.76,4.22,4.87,6.82,-1.1894,0.1558,0.2493,0.625,0.25,0.1049,0.0164,0.2352,0.25,0.2411,1.0,0.25,0.25,0.6616,0.25,0.1654,0.5495,0.0,0.25,0.0,0.0535,False
HD,Home Depot Inc,Home Improvement Retail,USA,NYSE,23.6,18.98,23.51,27.63,26.33,0.3879,0.3801,0.301,0.2606,0.2177,13.24,11.22,17.91,16.44,12.71,0.1524,0.1527,0.1421,0.1349,0.1268,,32.24,50.04,9.38,5.1,1.03,1.02,992.0,994.0,996.0,151.16,157.4,152.67,159.51,164.68,15.53,16.69,15.11,15.24,14.69,-0.1157,-0.0102,-0.0138,0.0,0.25,0.3286,0.0,0.0216,0.25,0.0268,0.5072,0.25,0.1268,0.8708,0.0,0.0,0.1639,0.0,0.25,0.0,0.0279,True
TSLA,Tesla Inc,Auto Manufacturers,USA,NASDAQ,215.99,34.02,57.73,198.13,418.19,0.1573,0.2941,0.255,0.0935,0.0427,1.47,2.18,1.25,1.02,1.76,0.1207,0.1698,0.0919,0.0794,0.0511,0.29,0.13,0.15,0.19,0.18,3.1,3.16,3.19,3.22,3.75,53.82,81.46,96.77,97.69,94.83,2.26,4.07,3.12,2.42,1.66,-1.1107,0.046,-0.0742,1.2,0.25,0.0254,0.0076,0.1521,0.25,0.192,0.2044,0.25,0.0511,0.1708,0.25,0.0427,0.8475,0.0,0.0,0.0,0.022,False
ABBV,Abbvie Inc,Drug Manufacturers - General,USA,NYSE,20.98,24.39,57.0,74.34,96.78,0.1335,0.1497,0.0686,0.0664,0.0693,12.37,13.64,12.42,10.06,10.05,0.3514,0.3893,0.3329,0.2951,0.3419,,,5.03,3.72,5.8,1.77,1.77,1.77,1.77,1.77,56.2,58.05,54.32,56.33,61.16,12.7,13.77,11.11,10.12,10.0,-0.6979,-0.0506,-0.058,0.0,0.25,0.1038,0.0,0.0214,0.25,0.0223,1.0,0.25,0.25,0.2772,0.25,0.0693,0.1471,0.0,0.0,0.0,0.0031,True
AXP,American Express Co,Credit Services,USA,NYSE,16.32,15.01,16.71,21.17,24.06,0.1588,0.1414,0.1337,0.1512,0.1423,,,,,,0.2635,0.197,0.1882,0.2028,0.2075,1.85,1.78,1.75,1.69,1.73,761.0,743.0,723.0,702.0,686.0,43.66,55.62,67.37,74.19,80.48,10.02,9.85,11.21,14.01,15.38,-0.4399,,0.1131,,0.0,,,0.1652,0.25,0.2009,0.83,0.25,0.2075,0.5692,0.25,0.1423,0.3663,1.0,0.25,0.25,,True
GEV,GE Vernova Inc,Specialty Industrial Machinery,USA,NYSE,,,,58.47,36.93,,,,,0.4347,,,,6.16,13.44,,,,0.0225,0.0542,,,,0.11,0.11,,,,275.88,269.53,0.0,0.0,0.0,34.94,38.06,,,2.09,0.55,17.69,0.2258,,,0.0,0.25,0.2057,0.0,,0.25,,0.2168,0.25,0.0542,1.0,0.0,0.0,0.9009,1.0,0.25,0.25,,True
MCD,McDonald's Corp,Restaurants,USA,NYSE,26.71,31.62,25.64,25.45,25.57,0.1781,0.1435,0.1935,0.1768,0.1715,9.45,7.4,9.91,9.24,10.03,0.4209,0.4466,0.4597,0.4576,0.4606,,,,,,745.4,744.8,731.3,715.2,710.6,23.22,23.18,25.49,25.92,26.89,9.28,10.1,11.94,11.72,12.2,0.0027,0.015,0.0708,0.2119,0.25,0.3215,0.017,0.0374,0.25,0.058,1.0,0.25,0.25,0.686,0.25,0.1715,,0.3216,0.25,0.0804,,True
PM,Philip Morris International Inc,Tobacco,USA,NYSE,16.31,17.41,18.75,26.62,22.08,0.5834,0.4362,0.2742,0.2294,0.3403,7.2,6.27,5.08,6.92,6.84,0.4138,0.3917,0.404,0.3511,0.4189,,,,,,1.55,1.55,1.55,1.55,1.56,31.35,31.53,35.06,37.69,40.54,6.08,5.98,6.01,6.57,7.54,-0.1776,-0.0127,0.0553,0.0,0.25,0.4109,0.0,0.0664,0.25,0.0938,1.0,0.25,0.25,1.0,0.25,0.25,,0.0,0.0,0.0,,True
